股票代码,股票名称,阶段,交易天数,交易次数,买入次数,卖出次数,盈利次数,胜率,总收益,最大回撤,年化收益,初始资金,最终资金,交易明细
999999,上证指数,牛市,122,8,4,4,3,75.0,6.17,3.84,13.05,100000,106166.39,"[{'日期': Timestamp('2025-07-07 00:00:00'), '类型': '买入', '价格': np.float64(3467.98), '数量': np.float64(28.835229730275262), '金额': np.float64(100000.0)}, {'日期': Timestamp('2025-07-14 00:00:00'), '类型': '卖出', '价格': np.float64(3513.25), '数量': np.float64(28.835229730275262), '金额': np.float64(101305.37084988957), '利润': np.float64(1305.3708498895721), '利润率': np.float64(1.305370849889572), '持仓天数': 7}, {'日期': Timestamp('2025-07-21 00:00:00'), '类型': '买入', '价格': np.float64(3542.82), '数量': np.float64(28.594557682831635), '金额': np.float64(101305.37084988957)}, {'日期': Timestamp('2025-08-01 00:00:00'), '类型': '卖出', '价格': np.float64(3568.26), '数量': np.float64(28.594557682831635), '金额': np.float64(102032.81639734081), '利润': np.float64(727.445547451236), '利润率': np.float64(0.7180720443036895), '持仓天数': 11}, {'日期': Timestamp('2025-08-07 00:00:00'), '类型': '买入', '价格': np.float64(3637.78), '数量': np.float64(28.04809977440659), '金额': np.float64(102032.81639734081)}, {'日期': Timestamp('2025-08-28 00:00:00'), '类型': '卖出', '价格': np.float64(3796.71), '数量': np.float64(28.04809977440659), '金额': np.float64(106490.50089448725), '利润': np.float64(4457.684497146445), '利润率': np.float64(4.36887332384037), '持仓天数': 21}, {'日期': Timestamp('2025-09-02 00:00:00'), '类型': '买入', '价格': np.float64(3877.09), '数量': np.float64(27.466605339181513), '金额': np.float64(106490.50089448725)}, {'日期': Timestamp('2025-09-03 00:00:00'), '类型': '卖出', '价格': np.float64(3865.29), '数量': np.float64(27.466605339181513), '金额': np.float64(106166.39495148491), '利润': np.float64(-324.10594300234516), '利润率': np.float64(-0.30435197532170055), '持仓天数': 1}]"
999999,上证指数,震荡,101,8,4,4,2,50.0,-0.89,8.14,-2.13,100000,99114.72,"[{'日期': Timestamp('2024-11-06 00:00:00'), '类型': '买入', '价格': np.float64(3395.22), '数量': np.float64(29.453172401199335), '金额': np.float64(100000.0)}, {'日期': Timestamp('2024-11-18 00:00:00'), '类型': '卖出', '价格': np.float64(3344.69), '数量': np.float64(29.453172401199335), '金额': np.float64(98511.7311985674), '利润': np.float64(-1488.2688014325977), '利润率': np.float64(-1.4882688014325975), '持仓天数': 12}, {'日期': Timestamp('2024-11-28 00:00:00'), '类型': '买入', '价格': np.float64(3308.28), '数量': np.float64(29.777325739830786), '金额': np.float64(98511.7311985674)}, {'日期': Timestamp('2024-12-19 00:00:00'), '类型': '卖出', '价格': np.float64(3355.9), '数量': np.float64(29.777325739830786), '金额': np.float64(99929.72745029815), '利润': np.float64(1417.996251730743), '利润率': np.float64(1.4394186707292016), '持仓天数': 21}, {'日期': Timestamp('2024-12-26 00:00:00'), '类型': '买入', '价格': np.float64(3389.34), '数量': np.float64(29.483535865477688), '金额': np.float64(99929.72745029815)}, {'日期': Timestamp('2025-01-03 00:00:00'), '类型': '卖出', '价格': np.float64(3267.08), '数量': np.float64(29.483535865477688), '金额': np.float64(96325.07035538484), '利润': np.float64(-3604.657094913302), '利润率': np.float64(-3.6071919606767096), '持仓天数': 8}, {'日期': Timestamp('2025-01-15 00:00:00'), '类型': '买入', '价格': np.float64(3234.72), '数量': np.float64(29.778487892424955), '金额': np.float64(96325.07035538484)}, {'日期': Timestamp('2025-03-03 00:00:00'), '类型': '卖出', '价格': np.float64(3328.4), '数量': np.float64(29.778487892424955), '金额': np.float64(99114.71910114723), '利润': np.float64(2789.648745762388), '利润率': np.float64(2.8960775584903984), '持仓天数': 47}]"
999999,上证指数,熊市,83,18,9,9,0,0.0,-7.93,8.1,-23.06,100000,92072.67,"[{'日期': Timestamp('2024-06-13 00:00:00'), '类型': '买入', '价格': np.float64(3038.09), '数量': np.float64(32.915417252286794), '金额': np.float64(99999.99999999999)}, {'日期': Timestamp('2024-06-14 00:00:00'), '类型': '卖出', '价格': np.float64(3020.96), '数量': np.float64(32.915417252286794), '金额': np.float64(99436.15890246832), '利润': np.float64(-563.8410975316656), '利润率': np.float64(-0.5638410975316657), '持仓天数': 1}, {'日期': Timestamp('2024-06-17 00:00:00'), '类型': '买入', '价格': np.float64(3017.72), '数量': np.float64(32.95075716185343), '金额': np.float64(99436.15890246833)}, {'日期': Timestamp('2024-06-18 00:00:00'), '类型': '卖出', '价格': np.float64(3015.07), '数量': np.float64(32.95075716185343), '金额': np.float64(99348.83939598943), '利润': np.float64(-87.31950647890335), '利润率': np.float64(-0.08781464151742872), '持仓天数': 1}, {'日期': Timestamp('2024-06-19 00:00:00'), '类型': '买入', '价格': np.float64(3029.1), '数量': np.float64(32.79813786140749), '金额': np.float64(99348.83939598943)}, {'日期': Timestamp('2024-06-20 00:00:00'), '类型': '卖出', '价格': np.float64(3015.72), '数量': np.float64(32.79813786140749), '金额': np.float64(98910.00031140378), '利润': np.float64(-438.8390845856484), '利润率': np.float64(-0.4417153609983326), '持仓天数': 1}, {'日期': Timestamp('2024-06-24 00:00:00'), '类型': '买入', '价格': np.float64(2982.83), '数量': np.float64(33.15978460435351), '金额': np.float64(98910.00031140378)}, {'日期': Timestamp('2024-06-25 00:00:00'), '类型': '卖出', '价格': np.float64(2962.77), '数量': np.float64(33.15978460435351), '金额': np.float64(98244.81503224045), '利润': np.float64(-665.1852791633282), '利润率': np.float64(-0.6725156981792426), '持仓天数': 1}, {'日期': Timestamp('2024-06-27 00:00:00'), '类型': '买入', '价格': np.float64(2962.7), '数量': np.float64(33.160568073797705), '金额': np.float64(98244.81503224045)}, {'日期': Timestamp('2024-07-09 00:00:00'), '类型': '卖出', '价格': np.float64(2919.57), '数量': np.float64(33.160568073797705), '金额': np.float64(96814.59973121758), '利润': np.float64(-1430.2153010228794), '利润率': np.float64(-1.4557666992945466), '持仓天数': 12}, {'日期': Timestamp('2024-07-10 00:00:00'), '类型': '买入', '价格': np.float64(2949.03), '数量': np.float64(32.8293031034671), '金额': np.float64(96814.59973121758)}, {'日期': Timestamp('2024-07-24 00:00:00'), '类型': '卖出', '价格': np.float64(2909.15), '数量': np.float64(32.8293031034671), '金额': np.float64(95505.36712345132), '利润': np.float64(-1309.2326077662583), '利润率': np.float64(-1.352309064336399), '持仓天数': 14}, {'日期': Timestamp('2024-08-01 00:00:00'), '类型': '买入', '价格': np.float64(2940.12), '数量': np.float64(32.483492892620475), '金额': np.float64(95505.3671234513)}, {'日期': Timestamp('2024-08-06 00:00:00'), '类型': '卖出', '价格': np.float64(2878.65), '数量': np.float64(32.483492892620475), '金额': np.float64(93508.60681534193), '利润': np.float64(-1996.7603081093694), '利润率': np.float64(-2.0907309905718017), '持仓天数': 5}, {'日期': Timestamp('2024-08-16 00:00:00'), '类型': '买入', '价格': np.float64(2877.94), '数量': np.float64(32.49150670804185), '金额': np.float64(93508.60681534195)}, {'日期': Timestamp('2024-08-23 00:00:00'), '类型': '卖出', '价格': np.float64(2844.77), '数量': np.float64(32.49150670804185), '金额': np.float64(92430.86353783621), '利润': np.float64(-1077.7432775057387), '利润率': np.float64(-1.1525605120329023), '持仓天数': 7}, {'日期': Timestamp('2024-09-11 00:00:00'), '类型': '买入', '价格': np.float64(2732.73), '数量': np.float64(33.82363553583274), '金额': np.float64(92430.86353783621)}, {'日期': Timestamp('2024-09-12 00:00:00'), '类型': '卖出', '价格': np.float64(2722.14), '数量': np.float64(33.82363553583274), '金额': np.float64(92072.67123751173), '利润': np.float64(-358.19230032447376), '利润率': np.float64(-0.3875245633487446), '持仓天数': 1}]"
