日期,类型,价格,数量,金额,股票代码,股票名称,阶段,利润,利润率,持仓天数
2025-07-07,买入,3467.98,28.835229730275262,100000.0,999999,上证指数,牛市,,,
2025-07-14,卖出,3513.25,28.835229730275262,101305.37084988957,999999,上证指数,牛市,1305.3708498895721,1.305370849889572,7.0
2025-07-21,买入,3542.82,28.594557682831635,101305.37084988957,999999,上证指数,牛市,,,
2025-08-01,卖出,3568.26,28.594557682831635,102032.81639734081,999999,上证指数,牛市,727.445547451236,0.7180720443036895,11.0
2025-08-07,买入,3637.78,28.04809977440659,102032.81639734081,999999,上证指数,牛市,,,
2025-08-28,卖出,3796.71,28.04809977440659,106490.50089448725,999999,上证指数,牛市,4457.684497146445,4.36887332384037,21.0
2025-09-02,买入,3877.09,27.466605339181513,106490.50089448725,999999,上证指数,牛市,,,
2025-09-03,卖出,3865.29,27.466605339181513,106166.39495148491,999999,上证指数,牛市,-324.10594300234516,-0.30435197532170055,1.0
2024-11-06,买入,3395.22,29.453172401199335,100000.0,999999,上证指数,震荡,,,
2024-11-18,卖出,3344.69,29.453172401199335,98511.7311985674,999999,上证指数,震荡,-1488.2688014325977,-1.4882688014325975,12.0
2024-11-28,买入,3308.28,29.777325739830786,98511.7311985674,999999,上证指数,震荡,,,
2024-12-19,卖出,3355.9,29.777325739830786,99929.72745029815,999999,上证指数,震荡,1417.996251730743,1.4394186707292016,21.0
2024-12-26,买入,3389.34,29.483535865477688,99929.72745029815,999999,上证指数,震荡,,,
2025-01-03,卖出,3267.08,29.483535865477688,96325.07035538484,999999,上证指数,震荡,-3604.657094913302,-3.6071919606767096,8.0
2025-01-15,买入,3234.72,29.778487892424955,96325.07035538484,999999,上证指数,震荡,,,
2025-03-03,卖出,3328.4,29.778487892424955,99114.71910114723,999999,上证指数,震荡,2789.648745762388,2.8960775584903984,47.0
2024-06-13,买入,3038.09,32.915417252286794,99999.99999999999,999999,上证指数,熊市,,,
2024-06-14,卖出,3020.96,32.915417252286794,99436.15890246832,999999,上证指数,熊市,-563.8410975316656,-0.5638410975316657,1.0
2024-06-17,买入,3017.72,32.95075716185343,99436.15890246833,999999,上证指数,熊市,,,
2024-06-18,卖出,3015.07,32.95075716185343,99348.83939598943,999999,上证指数,熊市,-87.31950647890335,-0.08781464151742872,1.0
2024-06-19,买入,3029.1,32.79813786140749,99348.83939598943,999999,上证指数,熊市,,,
2024-06-20,卖出,3015.72,32.79813786140749,98910.00031140378,999999,上证指数,熊市,-438.8390845856484,-0.4417153609983326,1.0
2024-06-24,买入,2982.83,33.15978460435351,98910.00031140378,999999,上证指数,熊市,,,
2024-06-25,卖出,2962.77,33.15978460435351,98244.81503224045,999999,上证指数,熊市,-665.1852791633282,-0.6725156981792426,1.0
2024-06-27,买入,2962.7,33.160568073797705,98244.81503224045,999999,上证指数,熊市,,,
2024-07-09,卖出,2919.57,33.160568073797705,96814.59973121758,999999,上证指数,熊市,-1430.2153010228794,-1.4557666992945466,12.0
2024-07-10,买入,2949.03,32.8293031034671,96814.59973121758,999999,上证指数,熊市,,,
2024-07-24,卖出,2909.15,32.8293031034671,95505.36712345132,999999,上证指数,熊市,-1309.2326077662583,-1.352309064336399,14.0
2024-08-01,买入,2940.12,32.483492892620475,95505.3671234513,999999,上证指数,熊市,,,
2024-08-06,卖出,2878.65,32.483492892620475,93508.60681534193,999999,上证指数,熊市,-1996.7603081093694,-2.0907309905718017,5.0
2024-08-16,买入,2877.94,32.49150670804185,93508.60681534195,999999,上证指数,熊市,,,
2024-08-23,卖出,2844.77,32.49150670804185,92430.86353783621,999999,上证指数,熊市,-1077.7432775057387,-1.1525605120329023,7.0
2024-09-11,买入,2732.73,33.82363553583274,92430.86353783621,999999,上证指数,熊市,,,
2024-09-12,卖出,2722.14,33.82363553583274,92072.67123751173,999999,上证指数,熊市,-358.19230032447376,-0.3875245633487446,1.0
