股票代码,股票名称,阶段,交易天数,交易次数,买入次数,卖出次数,盈利次数,胜率,总收益,最大回撤,年化收益,初始资金,最终资金,交易明细
999999,上证指数,牛市,122,6,3,3,2,66.67,4.99,2.24,10.5,100000,104991.5,"[{'日期': Timestamp('2025-07-07 00:00:00'), '类型': '买入', '价格': np.float64(3467.98), '数量': np.float64(28.835229730275262), '金额': np.float64(100000.0)}, {'日期': Timestamp('2025-07-16 00:00:00'), '类型': '卖出', '价格': np.float64(3502.9), '数量': np.float64(28.835229730275262), '金额': np.float64(101006.92622218122), '利润': np.float64(1006.9262221812241), '利润率': np.float64(1.006926222181224), '持仓天数': 9}, {'日期': Timestamp('2025-07-22 00:00:00'), '类型': '买入', '价格': np.float64(3561.63), '数量': np.float64(28.359747144476326), '金额': np.float64(101006.92622218122)}, {'日期': Timestamp('2025-08-04 00:00:00'), '类型': '卖出', '价格': np.float64(3547.16), '数量': np.float64(28.359747144476326), '金额': np.float64(100596.56068100064), '利润': np.float64(-410.3655411805812), '利润率': np.float64(-0.40627465514386135), '持仓天数': 13}, {'日期': Timestamp('2025-08-07 00:00:00'), '类型': '买入', '价格': np.float64(3637.78), '数量': np.float64(27.653283233455745), '金额': np.float64(100596.56068100064)}, {'日期': Timestamp('2025-08-28 00:00:00'), '类型': '卖出', '价格': np.float64(3796.71), '数量': np.float64(27.653283233455745), '金额': np.float64(104991.49698529376), '利润': np.float64(4394.936304293122), '利润率': np.float64(4.368873323840364), '持仓天数': 21}]"
999999,上证指数,震荡,101,8,4,4,2,50.0,-1.68,8.3,-4.01,100000,98319.17,"[{'日期': Timestamp('2024-11-28 00:00:00'), '类型': '买入', '价格': np.float64(3308.28), '数量': np.float64(30.22718754156238), '金额': np.float64(100000.0)}, {'日期': Timestamp('2024-12-19 00:00:00'), '类型': '卖出', '价格': np.float64(3355.9), '数量': np.float64(30.22718754156238), '金额': np.float64(101439.4186707292), '利润': np.float64(1439.4186707291956), '利润率': np.float64(1.4394186707291956), '持仓天数': 21}, {'日期': Timestamp('2024-12-25 00:00:00'), '类型': '买入', '价格': np.float64(3395.11), '数量': np.float64(29.87809486901137), '金额': np.float64(101439.4186707292)}, {'日期': Timestamp('2025-01-03 00:00:00'), '类型': '卖出', '价格': np.float64(3267.08), '数量': np.float64(29.87809486901137), '金额': np.float64(97614.12618464966), '利润': np.float64(-3825.292486079532), '利润率': np.float64(-3.771011837613515), '持仓天数': 9}, {'日期': Timestamp('2025-01-15 00:00:00'), '类型': '买入', '价格': np.float64(3234.72), '数量': np.float64(30.176994047289927), '金额': np.float64(97614.12618464966)}, {'日期': Timestamp('2025-01-24 00:00:00'), '类型': '卖出', '价格': np.float64(3222.88), '数量': np.float64(30.176994047289927), '金额': np.float64(97256.83057512976), '利润': np.float64(-357.29560951990425), '利润率': np.float64(-0.36602858980065417), '持仓天数': 9}, {'日期': Timestamp('2025-02-12 00:00:00'), '类型': '买入', '价格': np.float64(3312.26), '数量': np.float64(29.36268003572478), '金额': np.float64(97256.83057512976)}, {'日期': Timestamp('2025-04-01 00:00:00'), '类型': '结算', '价格': np.float64(3348.44), '数量': np.float64(29.36268003572478), '金额': np.float64(98319.17233882227), '利润': np.float64(1062.341763692515), '利润率': np.float64(1.0923055557232748), '持仓天数': 48}]"
999999,上证指数,熊市,83,16,8,8,0,0.0,-8.86,9.03,-25.5,100000,91140.72,"[{'日期': Timestamp('2024-06-05 00:00:00'), '类型': '买入', '价格': np.float64(3086.05), '数量': np.float64(32.40388198506181), '金额': np.float64(100000.0)}, {'日期': Timestamp('2024-06-06 00:00:00'), '类型': '卖出', '价格': np.float64(3069.44), '数量': np.float64(32.40388198506181), '金额': np.float64(99461.77152022813), '利润': np.float64(-538.2284797718748), '利润率': np.float64(-0.5382284797718748), '持仓天数': 1}, {'日期': Timestamp('2024-06-13 00:00:00'), '类型': '买入', '价格': np.float64(3038.09), '数量': np.float64(32.738257102399245), '金额': np.float64(99461.77152022813)}, {'日期': Timestamp('2024-06-18 00:00:00'), '类型': '卖出', '价格': np.float64(3015.07), '数量': np.float64(32.738257102399245), '金额': np.float64(98708.1368417309), '利润': np.float64(-753.6346784972266), '利润率': np.float64(-0.757712905147638), '持仓天数': 5}, {'日期': Timestamp('2024-06-19 00:00:00'), '类型': '买入', '价格': np.float64(3029.1), '数量': np.float64(32.58662204672375), '金额': np.float64(98708.1368417309)}, {'日期': Timestamp('2024-06-21 00:00:00'), '类型': '卖出', '价格': np.float64(2998.24), '数量': np.float64(32.58662204672375), '金额': np.float64(97702.513685369), '利润': np.float64(-1005.623156361893), '利润率': np.float64(-1.018784457429598), '持仓天数': 2}, {'日期': Timestamp('2024-06-27 00:00:00'), '类型': '买入', '价格': np.float64(2962.7), '数量': np.float64(32.97752512416681), '金额': np.float64(97702.513685369)}, {'日期': Timestamp('2024-07-08 00:00:00'), '类型': '卖出', '价格': np.float64(2939.84), '数量': np.float64(32.97752512416681), '金额': np.float64(96948.64746103056), '利润': np.float64(-753.866224338446), '利润率': np.float64(-0.7715934789212469), '持仓天数': 11}, {'日期': Timestamp('2024-07-12 00:00:00'), '类型': '买入', '价格': np.float64(2965.61), '数量': np.float64(32.690963228823264), '金额': np.float64(96948.64746103056)}, {'日期': Timestamp('2024-07-25 00:00:00'), '类型': '卖出', '价格': np.float64(2891.89), '数量': np.float64(32.690963228823264), '金额': np.float64(94538.66965180171), '利润': np.float64(-2409.977809228847), '利润率': np.float64(-2.485829222318507), '持仓天数': 13}, {'日期': Timestamp('2024-08-01 00:00:00'), '类型': '买入', '价格': np.float64(2940.12), '数量': np.float64(32.15469764900811), '金额': np.float64(94538.66965180171)}, {'日期': Timestamp('2024-08-06 00:00:00'), '类型': '卖出', '价格': np.float64(2878.65), '数量': np.float64(32.15469764900811), '金额': np.float64(92562.12038731719), '利润': np.float64(-1976.5492644845217), '利润率': np.float64(-2.0907309905718066), '持仓天数': 5}, {'日期': Timestamp('2024-08-16 00:00:00'), '类型': '买入', '价格': np.float64(2877.94), '数量': np.float64(32.162630349248836), '金额': np.float64(92562.12038731719)}, {'日期': Timestamp('2024-08-23 00:00:00'), '类型': '卖出', '价格': np.float64(2844.77), '数量': np.float64(32.162630349248836), '金额': np.float64(91495.28593863262), '利润': np.float64(-1066.8344486845745), '利润率': np.float64(-1.1525605120329023), '持仓天数': 7}, {'日期': Timestamp('2024-09-11 00:00:00'), '类型': '买入', '价格': np.float64(2732.73), '数量': np.float64(33.48127547859928), '金额': np.float64(91495.28593863262)}, {'日期': Timestamp('2024-09-12 00:00:00'), '类型': '卖出', '价格': np.float64(2722.14), '数量': np.float64(33.48127547859928), '金额': np.float64(91140.71923131424), '利润': np.float64(-354.5667073183722), '利润率': np.float64(-0.3875245633487455), '持仓天数': 1}]"
