date,open,high,low,close,ema5,k,d,rsi,short_term,mid_term,long_term,bias60,bias120,final_buy_signal,final_sell_signal,partial_sell_signal,signal_type,position
2021-04-12,6.83,6.87,6.68,6.7,6.7,10.526315789473905,10.526315789473905,,10.526315789473912,10.526315789473912,10.526315789473912,0.0,0.0,False,False,False,观望,0
2021-04-13,6.65,6.8,6.54,6.65,6.6833333333333345,18.12865497076041,13.06042884990274,0.0,33.33333333333343,21.92982456140367,18.12865497076042,-0.007219774840920192,-0.007340241796200454,False,True,False,观望,0
2021-04-14,6.65,6.75,6.59,6.68,6.682222222222223,26.227184121921045,17.44934727390884,37.49999999999959,42.424242424242316,32.17703349282299,26.227184121921052,-0.0026514342943446336,-0.002814903572627565,False,False,False,观望,0
2021-04-15,6.68,6.7,6.53,6.6,6.6548148148148165,24.347534512653187,19.748743020156954,18.749999999999687,20.58823529411748,26.382634393470237,24.347534512653198,-0.01412393900866252,-0.014516859705163884,False,False,False,观望,0
2021-04-16,6.57,6.82,6.56,6.71,6.673209876543211,33.878748498631516,24.458744846315142,51.85185185185181,52.941176470588175,39.66190543202921,33.87874849863152,0.002231509740069564,0.0018762652675204492,True,False,False,买入,2
2021-04-19,6.74,6.88,6.69,6.84,6.728806584362141,52.109641856230525,33.675710516286934,67.49999999999999,88.57142857142856,64.11666700172889,52.10964185623054,0.02092416270154948,0.020927475436392912,True,False,False,持有200股,2
2021-04-20,6.82,6.89,6.7,6.71,6.722537722908094,51.40642790415368,39.58594964557585,50.94339622641508,50.0,57.05833350086444,51.406427904153695,0.0014707031395893545,0.0014986571687186992,False,False,False,持有200股,2
2021-04-21,6.68,6.77,6.58,6.76,6.735025148605397,55.56724823239875,44.91304917451682,55.17241379310342,63.888888888888864,60.47361119487665,55.567248232398754,0.008637804369458059,0.00881196195391367,True,False,False,持有200股,2
2021-04-22,6.76,6.87,6.73,6.78,6.750016765736931,60.19298030308068,50.00635955070478,56.66666666666668,69.44444444444456,64.9590278196606,60.19298030308069,0.011236610996725602,0.011599365688365748,True,False,False,持有200股,2
2021-04-23,6.79,6.96,6.64,6.85,6.783344510491288,64.93485508577469,54.98252472906142,61.19402985074625,74.4186046511627,69.68881623541165,64.9348550857747,0.020951491416490383,0.02167135367531651,True,False,False,持有200股,2
2021-04-26,6.89,6.99,6.78,6.84,6.802229673660859,65.75367150645846,58.57290698819376,60.29411764705882,67.39130434782601,68.54006029161883,65.75367150645847,0.018810981356612754,0.01983969364076891,False,False,False,持有200股,2
2021-04-27,6.82,6.86,6.64,6.67,6.758153115773906,53.980708540537506,57.04217417230834,48.235294117647044,30.434782608695585,49.48742145015721,53.98070854053751,-0.006298234677918461,-0.005416664310334571,False,True,False,清仓卖出,0
2021-04-28,6.71,6.9,6.68,6.84,6.785435410515937,57.692565383614145,57.258971242743606,56.862745098039206,67.39130434782601,58.439362898991604,58.45090714296702,0.018393136620610328,0.019596616374087026,True,False,False,买入,2
2021-04-29,6.95,7.03,6.84,6.89,6.820290273677292,61.424673218705685,58.6475385680643,58.87850467289718,71.99999999999989,65.21968144949574,62.96727142864465,0.024969246481971328,0.026590814882814173,True,False,False,持有200股,2
2021-04-30,6.86,7.2,6.82,7.15,6.930193515784863,71.59494343612637,62.96334019075166,66.91729323308272,92.53731343283584,78.87849744116579,72.82395209670838,0.06143233664716404,0.06418094978884012,True,False,False,持有200股,2
2021-05-06,7.18,7.35,7.13,7.19,7.016795677189909,74.13688869767735,66.6878563597269,70.45454545454547,80.48780487804885,79.68315115960732,75.37856969048855,0.06501793750565232,0.06889529658001435,True,False,False,持有200股,2
2021-05-07,7.14,7.6,7.11,7.49,7.17453045145994,78.93848135400714,70.77139802448697,75.47169811320757,89.71962616822435,84.70138866391584,80.15892184973382,0.1054881363866582,0.11140960307607334,True,False,False,持有200股,2
2021-05-10,7.54,7.66,7.44,7.63,7.326353634306627,84.97859541247534,75.50713048714977,81.21212121212123,97.34513274336281,91.02326070363932,85.88765881427682,0.121512761806514,0.1297153522255118,False,True,False,清仓卖出,0
2021-05-11,7.55,7.56,7.18,7.41,7.354235756204418,81.81579563446068,77.61001886958674,69.88636363636365,77.87610619469027,84.4496834491648,83.21714127441464,0.08600032967446214,0.09538284790126175,False,False,False,观望,0
2021-05-12,7.31,7.52,7.3,7.48,7.396157170802946,81.994844148464,79.07162729587917,68.82352941176472,84.07079646017701,84.26023995467091,83.5016930030021,0.09281048055366094,0.10380157598044441,False,False,False,观望,0
2021-05-13,7.4,7.48,7.24,7.25,7.34743811386863,74.05098453435015,77.39807970870282,65.0,63.71681415929202,73.98852705698147,76.90673338843209,0.05715581918449543,0.06862717753749403,False,True,False,观望,0
2021-05-14,7.3,7.38,7.07,7.11,7.268292075912421,60.875259530836615,71.89047298274743,59.25925925925927,51.327433628318595,62.657980342650035,68.38030013506092,0.03549436915881186,0.047160957934115476,False,True,False,观望,0
2021-05-17,7.08,7.19,6.98,7.03,7.188861383941614,48.91683968722441,64.23259521757309,56.41025641025641,44.247787610619476,53.45288397663475,60.33612929358044,0.02304347740621878,0.03477345217876884,False,True,False,观望,0
2021-05-18,7.08,7.49,6.99,7.19,7.189240922627743,42.90534410520843,57.12351151345154,58.33333333333336,57.272727272727316,55.929981811326236,59.69311274439287,0.04474064559545148,0.05730519818893796,False,False,False,观望,0
2021-05-19,7.18,7.18,7.0,7.01,7.129493948418496,30.074150972099705,48.107057999667596,53.846153846153854,39.814814814814795,49.20392895876044,53.95470053166014,0.017965485047765312,0.03031067363109767,False,True,False,观望,0
2021-05-20,6.84,6.84,6.51,6.61,6.956329298945664,22.9479847060375,39.720700235124234,48.7704918032787,8.69565217391309,28.949790566336766,38.86835107907779,-0.03885666194503692,-0.028022678918068065,False,True,False,观望,0
2021-05-21,6.58,6.74,6.53,6.62,6.844219532630444,18.79071996275517,32.74404014433455,45.17543859649124,9.565217391304373,19.25750397882057,29.100639849819984,-0.036220690918280514,-0.02612480005553256,False,True,False,观望,0
2021-05-24,6.63,6.7,6.59,6.65,6.779479688420296,17.14760868804142,27.545229658903505,44.69026548672568,12.173913043478308,15.715708511149439,23.458397581039428,-0.030840955866835097,-0.02136026658857139,False,True,False,观望,0
2021-05-25,6.63,6.77,6.57,6.72,6.75965312561353,18.574596268218084,24.55501852867503,39.6135265700483,18.260869565217376,16.988289038183407,21.725888242432077,-0.019976101740142985,-0.010877994087478764,False,True,False,观望,0
2021-05-26,6.72,6.85,6.68,6.82,6.779768750409021,22.927281865886897,24.012439641078988,41.31455399061032,26.956521739130466,21.972405388656938,23.46943274133154,-0.00521653464450437,0.003777354579550843,True,False,False,买入,2
2021-05-27,6.83,6.89,6.78,6.8,6.786512500272681,25.148800155489223,24.39122647921573,31.35135135135134,25.217391304347828,23.594898346502383,24.052085595670306,-0.007869205200067942,0.0008199340799590409,True,False,False,持有200股,2
2021-05-28,6.83,6.87,6.68,6.72,6.764341666848454,23.90872391318329,24.23039229053825,24.581005586592198,18.260869565217376,20.92788395585988,22.121680252186,-0.018912750169390067,-0.010775304351855875,False,True,False,清仓卖出,0
2021-05-31,6.73,6.79,6.68,6.78,6.769561111232303,29.37198509635107,25.944256559142527,30.67484662576689,23.478260869565247,22.203072412712565,22.573873791312415,-0.009823426026899743,-0.001910887638252555,True,False,False,买入,2
